"date,cpu_index,old_cpu_index"
"Nov-11,99.35573803,109.32"
"Dec-11,116.1878298,76.31"
"Jan-12,80.74488538,68.8"
"Feb-12,112.6796531,56.86"
"Mar-12,63.93076739,31.45"
"Apr-12,73.02971107,32.64"
"May-12,117.7498969,24.11"
"Jun-12,111.2162288,74.17"
"Jul-12,108.9114695,59.02"
"Aug-12,119.2321322,83.16"
"Sep-12,91.57525933,91.43"
"Oct-12,83.92417188,87.26"
"Nov-12,146.0921831,126.47"
"Dec-12,92.05358948,64.37"
"Jan-13,103.7850054,118.53"
"Feb-13,66.40136197,25.14"
"Mar-13,58.07249263,36.75"
"Apr-13,93.14080833,70.78"
"May-13,38.09209394,22.71"
"Jun-13,68.2699011,65.5"
"Jul-13,101.9347457,58.18"
"Aug-13,50.58586036,11.78"
"Sep-13,106.1156416,95.77"
"Oct-13,100.5703927,98.58"
"Nov-13,43.91390436,39.82"
"Dec-13,99.90745339,68.49"
"Jan-14,82.38285245,67.63"
"Feb-14,104.5889229,95.92"
"Mar-14,60.8667026,62.91"
"Apr-14,87.16055423,86.5"
"May-14,88.98038157,162.75"
"Jun-14,72.20944563,90.9"
"Jul-14,63.40941328,50.27"
"Aug-14,96.42634615,62.79"
"Sep-14,78.26364072,60.52"
"Oct-14,54.67273781,45.52"
"Nov-14,131.020044,165.87"
"Dec-14,78.02819956,61.58"
"Jan-15,103.8572101,66.31"
"Feb-15,89.55959068,45.86"
"Mar-15,80.16962581,43.8"
"Apr-15,104.3895228,28.32"
"May-15,125.8811864,88.89"
"Jun-15,58.1676658,58.88"
"Jul-15,52.34319462,31.03"
"Aug-15,71.64043044,59.96"
"Sep-15,104.818745,105.46"
"Oct-15,82.56443505,135.23"
"Nov-15,100.6703263,190.28"
"Dec-15,137.3122441,163.66"
"Jan-16,91.40321325,139.61"
"Feb-16,49.12534465,37.72"
"Mar-16,87.95350804,60.36"
"Apr-16,108.1190625,118.23"
"May-16,99.83579694,91.72"
"Jun-16,120.3796358,93.84"
"Jul-16,101.1825344,75.65"
"Aug-16,77.09684887,91.67"
"Sep-16,107.3175953,107.86"
"Oct-16,104.6382294,87.51"
"Nov-16,277.9767331,297.41"
"Dec-16,223.5604902,296.74"
"Jan-17,249.4481416,363.4"
"Feb-17,247.5635413,181.28"
"Mar-17,208.660623,247.83"
"Apr-17,162.8100619,202.09"
"May-17,188.2838042,170.26"
"Jun-17,201.6878786,263.1"
"Jul-17,150.6200572,186.36"
"Aug-17,125.4631782,173.71"
"Sep-17,102.3736787,151.62"
"Oct-17,107.9960189,133.2"
"Nov-17,150.3878823,221.65"
"Dec-17,141.8917263,104.52"
"Jan-18,120.6551214,92.65"
"Feb-18,117.812332,52.6"
"Mar-18,149.7899075,76.87"
"Apr-18,171.0598216,148.38"
"May-18,175.2114079,91.87"
"Jun-18,150.5158108,94.04"
"Jul-18,196.5221071,90.34"
"Aug-18,143.6970221,123.58"
"Sep-18,79.47310311,47.82"
"Oct-18,103.7215692,111.89"
"Nov-18,156.1780515,176.67"
"Dec-18,154.8508354,103.59"
"Jan-19,211.221614,185.25"
"Feb-19,263.6796844,185.08"
"Mar-19,165.9910569,187.66"
"Apr-19,94.5296649,83.42"
"May-19,116.1994316,140.1"
"Jun-19,173.196342,137.02"
"Jul-19,131.1424573,95.56"
"Aug-19,188.6663965,140.97"
"Sep-19,346.612379,629.02"
"Oct-19,199.8493538,164.76"
"Nov-19,170.0483914,157.05"
"Dec-19,242.8845589,264.05"
"Jan-20,209.3470847,268.8"
"Feb-20,205.0062418,215.66"
"Mar-20,276.603415,316.62"
"Apr-20,245.285638,390.78"
"May-20,221.9758722,177.38"
"Jun-20,138.3028987,174.99"
"Jul-20,133.1777329,224.2"
"Aug-20,202.7847937,204.27"
"Sep-20,184.3543472,217.45"
"Oct-20,272.16406,340.73"
"Nov-20,234.7634116,354.7"
"Dec-20,299.8446191,378.94"
"Jan-21,180.8233972,261.52"
"Feb-21,207.0713994,257.23"
"Mar-21,145.2818833,181.23"
"Apr-21,103.877858,121.45"
"May-21,167.901495,126.32"
"Jun-21,176.7582079,145.76"
"Jul-21,244.3479261,113.71"
"Aug-21,95.08021794,143.07"
"Sep-21,326.1647915,197.78"
"Oct-21,259.7489046,190.33"
"Nov-21,411.2888056,383.52"
"Dec-21,266.2633128,195.49"
"Jan-22,209.0009394,"
"Feb-22,221.277325,"
"Mar-22,229.6155689,"
"Apr-22,225.9682532,"
"May-22,235.5590969,"
"Jun-22,189.2958277,"
"Jul-22,336.7758492,"
"Aug-22,255.6456167,"
"Sep-22,178.5962387,"
"Oct-22,204.4393112,"
"Nov-22,220.3033416,"
"Dec-22,198.4815688,"
"Jan-23,213.5660193,"
"Feb-23,242.0564097,"
"Mar-23,287.5295264,"
"Apr-23,226.2019158,"
"May-23,227.9405454,"
"Jun-23,218.04583,"
"Jul-23,231.7006585,"
"Aug-23,153.4179509,"
"Sep-23,213.5992835,"
"Oct-23,150.6063625,"
"Nov-23,249.2877564,"
"Dec-23,240.1197379,"
